"12","Atacama","Segunda",1516,1752,1984,3308,3156,3174,3283,3459,3454,3871,3523,3342,3318,3373,3426,2976,3132,3509,3511,3712,3513,3688,3735,3762,3753,3725,3863,3927,3972,3804,3778,3783,3595,3620,3311,3462,3476,3253,3182,3030,2915,3048,2927,3108,3190,3203,3056,3085,2789,2639,2554,2632,2619,2620,2602,2712,2389,2420,2299,2290,2199,2121,2059,1994,1895,1748,1600,1562,1477,1433,1400,1317,1248,1076,1143,962,809,5467,221618
"13","Aysén","Unica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,609,463,325,328,350,547,437,448,362,355,294,342,309,285,315,276,283,249,240,218,253,230,220,203,195,188,174,159,174,158,154,123,123,131,105,90,94,93,83,74,93,64,31,7,1,2,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10262
"14","Aysén","Refuerzo",290,387,582,1784,1891,1997,2155,2235,2431,2993,2740,2653,2707,2817,3020,3162,3145,3364,3327,3508,3508,3563,3648,3624,3605,3505,3712,3758,3853,3730,3693,3678,3524,3532,3235,3402,3390,3191,3099,2995,2877,3004,2854,3075,3122,3131,2984,3033,2731,2557,2504,2582,2577,2580,2542,2675,2311,2337,2202,2191,2099,2036,1981,1905,1811,1672,1523,1505,1411,1375,1354,1253,1179,1016,1060,899,753,4791,200925
"15","Aysén","Cuarta",0,0,2,33,64,77,74,76,116,606,699,870,1055,1341,1911,2190,2188,2360,2304,2389,2388,2434,2425,2494,2526,2466,2632,2692,2788,2699,2743,2729,2715,2716,2469,2631,2696,2516,2403,2379,2290,2431,2298,2511,2585,2592,2470,2528,2284,2141,2097,2180,2200,2221,2206,2303,1995,2057,1929,1904,1834,1834,1762,1708,1610,1509,1390,1364,1249,1236,1197,1109,1039,888,927,792,650,3840,141056
"16","Biobío","Primera",2998,3165,3557,4863,4541,4443,4593,4855,4789,5152,4685,4755,4574,4348,4253,3916,4122,4366,4300,4541,4471,4796,5060,5114,5345,5476,5436,5526,5670,5385,5233,4796,4770,4590,4404,4447,4661,4399,4065,4052,4032,3840,3882,4147,3922,3953,3904,3952,3804,3877,4032,3905,3826,3886,3929,3826,3584,3827,3359,3294,3095,2936,2759,2575,2445,2323,2066,1845,1816,1623,1579,1369,1418,1298,1165,1102,1065,7027,300799
"17","Biobío","Segunda",2390,2589,3053,4431,4226,4153,4355,4628,4609,4995,4568,4636,4476,4233,4142,3780,3971,4186,4137,4351,4285,4625,4890,4941,5182,5317,5289,5394,5522,5256,5107,4715,4689,4514,4298,4374,4571,4323,4005,3997,3986,3780,3827,4082,3867,3889,3847,3894,3757,3842,3993,3860,3783,3845,3894,3790,3546,3792,3323,3264,3076,2915,2741,2556,2432,2305,2052,1834,1806,1617,1571,1362,1411,1281,1152,1093,1053,6896,292217
"18","Biobío","Unica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,713,427,291,303,272,295,270,263,247,214,233,241,224,224,206,174,164,186,167,145,142,127,127,117,106,102,114,91,121,97,82,76,68,81,66,72,66,59,63,62,53,52,15,5,3,1,3,2,2,1,2,0,0,0,0,2,0,1,0,0,0,0,1,7241
"19","Coquimbo","Refuerzo",581,795,1117,2504,2642,2605,2796,2955,3280,3830,3518,3674,3625,3519,3650,3964,3871,3870,3848,4026,3957,4289,4563,4657,4789,5017,4975,5079,5218,4986,4809,4452,4494,4336,4095,4204,4393,4144,3860,3842,3830,3673,3706,3970,3765,3787,3741,3783,3618,3729,3883,3750,3685,3740,3781,3692,3428,3684,3194,3140,2980,2814,2630,2477,2333,2206,1963,1743,1720,1544,1514,1289,1354,1213,1090,1010,974,6105,261367
"20","Coquimbo","Cuarta",2,0,3,126,166,187,192,205,306,712,710,1058,1367,1590,2235,2660,2638,2621,2511,2725,2606,2904,3156,3214,3349,3576,3608,3683,3870,3740,3621,3342,3412,3342,3160,3263,3541,3276,3105,3114,3186,3024,3054,3314,3130,3189,3162,3201,3040,3158,3331,3220,3135,3266,3247,3178,2960,3236,2834,2760,2624,2508,2311,2183,2094,1944,1753,1569,1512,1387,1326,1131,1178,1043,938,875,830,4833,183560
"21","Coquimbo","Primera",1014,937,1158,1580,1438,1398,1464,1487,1625,1859,1705,1673,1580,1639,1436,1164,1092,851,911,955,1082,1146,1299,1395,1406,1474,1593,1708,1758,1713,1614,1531,1573,1479,1477,1477,1484,1542,1451,1450,1394,1347,1414,1334,1367,1302,1326,1298,1291,1234,1266,1314,1313,1256,1220,1170,1208,1193,1191,1074,1104,1057,995,916,836,807,720,662,584,540,525,503,447,411,377,381,339,2286,95620
"22","Ignorada","Segunda",787,764,987,1464,1354,1333,1411,1425,1581,1814,1662,1641,1555,1601,1410,1144,1080,834,892,936,1063,1122,1273,1379,1393,1456,1572,1690,1741,1701,1596,1519,1561,1468,1467,1463,1474,1531,1439,1443,1383,1340,1407,1322,1361,1295,1318,1286,1279,1229,1260,1306,1307,1250,1207,1166,1202,1184,1184,1067,1098,1052,991,907,830,800,716,656,579,535,522,496,444,409,373,377,334,2252,93750
"23","Ignorada","Unica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,634,601,562,516,485,403,372,345,342,322,332,312,326,295,304,311,280,223,235,234,225,209,203,178,177,173,180,180,164,152,170,133,132,126,121,115,87,103,109,92,72,71,20,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10630
"24","Ignorada","Refuerzo",162,199,379,888,881,930,985,992,1052,1389,1253,1268,1245,1301,1248,1627,1561,1247,1236,1250,1312,1296,1427,1526,1532,1613,1691,1822,1805,1814,1714,1635,1611,1584,1575,1560,1543,1611,1524,1508,1458,1436,1482,1383,1406,1392,1366,1335,1327,1271,1296,1333,1321,1287,1229,1175,1196,1143,1121,1003,1048,999,946,860,792,763,681,623,549,511,492,461,420,380,349,354,311,1982,91277
"25","Araucanía","Cuarta",0,0,0,26,34,38,31,55,57,376,399,510,554,661,807,1185,1161,856,852,839,922,864,978,1038,1084,1138,1195,1335,1306,1360,1287,1228,1225,1213,1206,1209,1221,1264,1204,1194,1167,1149,1207,1132,1138,1121,1109,1091,1054,1017,1063,1100,1076,1044,998,946,978,954,950,845,858,860,804,747,684,673,588,524,475,437,415,394,345,307,296,295,254,1542,63549
