AGNO;RBD;DGV_RBD;NOM_RBD;COD_DEPE;COD_DEPE2;RURAL_RBD;COD_REG_RBD;NOM_REG_RBD_A;COD_PRO_RBD;COD_COM_RBD;NOM_COM_RBD;COD_DEPROV_RBD;NOM_DEPROV_RBD;ESTADO_ESTAB;MAT_SI_1;MAT_HOM_1;MAT_MUJ_1;MAT_ENS_1;MAT_SI_2;MAT_HOM_2;MAT_MUJ_2;MAT_ENS_2;MAT_HOM_3;MAT_MUJ_3;MAT_ENS_3;MAT_SI_4;MAT_HOM_4;MAT_MUJ_4;MAT_ENS_4;MAT_SI_5;MAT_HOM_5;MAT_MUJ_5;MAT_ENS_5;MAT_HOM_6;MAT_MUJ_6;MAT_ENS_6;MAT_HOM_7;MAT_MUJ_7;MAT_ENS_7;MAT_HOM_8;MAT_MUJ_8;MAT_ENS_8;MAT_HOM_TOT;MAT_MUJ_TOT;MAT_SI_TOT;MAT_TOTAL;CUR_SIM_01;CUR_SIM_02;CUR_SIM_03;CUR_SIM_04;CUR_SIM_05;CUR_SIM_06;CUR_SIM_07;CUR_SIM_08;CUR_SIM_TOT;CUR_COMB_01;CUR_COMB_02;CUR_COMB_TOT
2022;31432;3;LICEO ALTO CORDILLERA DE LA FLORIDA;1;1;0;13;RM;131;13110;LA FLORIDA;136;CORDILLERA;1;0;17;20;37;0;172;160;332;0;0;0;0;0;0;0;0;150;139;289;0;0;0;0;0;0;0;0;0;339;319;0;658;2;10;0;0;10;0;0;0;22;0;0;0
2022;31433;1;ESCUELA ESPECIAL N° 2045 THE ALMOND SCHOOL;3;2;0;13;RM;131;13112;LA PINTANA;136;CORDILLERA;1;0;0;0;0;0;0;0;0;0;0;0;0;36;19;55;0;0;0;0;0;0;0;0;0;0;0;0;0;36;19;0;55;0;0;0;4;0;0;0;0;4;0;0;0
2022;31435;8;ESCUELA ESPECIAL NUESTRA SEÑORA DEL MAIPO;3;2;0;13;RM;132;13201;PUENTE ALTO;136;CORDILLERA;1;0;0;0;0;0;0;0;0;0;0;0;0;20;23;43;0;0;0;0;0;0;0;0;0;0;0;0;0;20;23;0;43;0;0;0;4;0;0;0;0;4;0;0;0
2022;31436;6;ESCUELA ESPECIAL ENTREPEQUES;3;2;0;13;RM;131;13125;QUILICURA;137;SANTIAGO NORTE;1;0;0;0;0;0;0;0;0;0;0;0;0;28;14;42;0;0;0;0;0;0;0;0;0;0;0;0;0;28;14;0;42;0;0;0;4;0;0;0;0;4;0;0;0
2022;31437;4;ESCUELA ESPECIAL LUIS SEMBRADOR;3;2;0;13;RM;131;13116;LO ESPEJO;132;SANTIAGO SUR;1;0;0;0;0;0;0;0;0;0;0;0;0;74;50;124;0;0;0;0;0;0;0;0;0;0;0;0;0;74;50;0;124;0;0;0;9;0;0;0;0;9;0;0;0
2022;31438;2;COLEGIO AULA CLINICA SANTA MARIA;3;2;0;13;RM;131;13123;PROVIDENCIA;133;SANTIAGO ORIENTE;1;0;2;1;3;0;12;12;24;0;0;0;0;0;0;0;0;11;8;19;0;0;0;0;0;0;0;0;0;25;21;0;46;2;7;0;0;4;0;0;0;13;0;0;0
2022;31439;0;ESCUELA  DE  PARVULOS  RAYITO  DE  SOL;3;2;0;13;RM;131;13130;SAN MIGUEL;131;SANTIAGO CENTRO;1;0;27;27;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;27;0;54;4;0;0;0;0;0;0;0;4;0;0;0
2022;31440;4;ESCUELA ESPECIAL EL CASTILLO  ENCANTADO;3;2;0;13;RM;131;13103;CERRO NAVIA;134;SANTIAGO PONIENTE;1;0;0;0;0;0;0;0;0;0;0;0;0;53;37;90;0;0;0;0;0;0;0;0;0;0;0;0;0;53;37;0;90;0;0;0;6;0;0;0;0;6;0;0;0
2022;31441;2;ESCUELA ESPECIAL LICANCURA;3;2;0;13;RM;131;13110;LA FLORIDA;136;CORDILLERA;1;0;0;0;0;0;0;0;0;0;0;0;0;56;49;105;0;0;0;0;0;0;0;0;0;0;0;0;0;56;49;0;105;0;0;0;9;0;0;0;0;9;0;0;0
2022;31442;0;JARDIN INFANTIL ADONAY;3;2;0;5;VALPO;53;5301;LOS ANDES;52;LOS ANDES;1;0;6;6;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;6;0;12;0;0;0;0;0;0;0;0;0;1;0;1
2022;31443;9;ESCUELA ESPECIAL DE LENGUAJE LORD COCHRANE;3;2;0;5;VALPO;58;5801;QUILPUÉ;53;VALPARAÍSO;1;0;0;0;0;0;0;0;0;0;0;0;0;55;34;89;0;0;0;0;0;0;0;0;0;0;0;0;0;55;34;0;89;0;0;0;6;0;0;0;0;6;0;0;0
2022;31444;7;COLEGIO RUKA NEWEN;3;2;0;5;VALPO;58;5802;LIMACHE;51;QUILLOTA;1;0;0;0;0;0;0;0;0;8;0;8;0;0;0;0;0;0;0;0;14;3;17;0;0;0;0;0;0;22;3;0;25;0;0;3;0;0;4;0;0;7;0;0;0
2022;31445;5;COLEGIO FUNDADORES DE QUILPUE;4;3;0;5;VALPO;58;5801;QUILPUÉ;53;VALPARAÍSO;1;0;16;19;35;0;114;104;218;0;0;0;0;0;0;0;0;56;46;102;0;0;0;0;0;0;0;0;0;186;169;0;355;2;8;0;0;4;0;0;0;14;0;0;0
2022;31446;3;ESC. ESP. DE LENGUAJE Y JARDIN INFANTIL EL CANELO;3;2;0;5;VALPO;56;5603;CARTAGENA;54;SAN ANTONIO;1;0;28;24;52;0;0;0;0;0;0;0;0;30;25;55;0;0;0;0;0;0;0;0;0;0;0;0;0;58;49;0;107;2;0;0;4;0;0;0;0;6;0;0;0
2022;31447;1;ESCUELA ESPECIAL AITUE;3;2;0;5;VALPO;56;5601;SAN ANTONIO;54;SAN ANTONIO;1;0;0;0;0;0;0;0;0;0;0;0;0;48;28;76;0;0;0;0;0;0;0;0;0;0;0;0;0;48;28;0;76;0;0;0;11;0;0;0;0;11;0;0;0
